Article Title,Like/DoslikeCount,PublishTime
[討論] 2024.04.23 開獎結果,8,Tue Apr 23 22:25:11 2024
[報牌] 虎斑法鬥 39 二合,,Wed Apr 24 13:36:34 2024
[報牌] 享受輸的感覺539,,Wed Apr 24 18:01:18 2024
[情報] 樂透小常識 (編修:2019/05/01),32,
[公告] 樂透版版規 2016.08.21,4,Sun Aug 21 23:14:10 2016
Re: [閒聊] 刮刮樂機率分析彙整,1,Wed Feb 21 23:20:51 2024
[報牌] 享受輸的感覺539,10,Thu Apr 18 17:35:18 2024
[討論] 2024.04.18 開獎結果,4,Fri Apr 19 08:11:52 2024
[報牌] 享受輸的感覺539,4,Fri Apr 19 12:38:29 2024
[報牌] 虎斑法鬥 39 二合,,Fri Apr 19 13:45:47 2024
[報牌] 39樂合,,Fri Apr 19 17:13:25 2024
[討論] 2024.04.19 開獎結果,3,Sat Apr 20 09:44:25 2024
[報牌] 高雄539,,Sat Apr 20 15:17:50 2024
[報牌] 虎斑法鬥 39 二合,,Sat Apr 20 17:23:38 2024
[報牌] 享受輸的感覺539,2,Sat Apr 20 18:06:27 2024
[真相] 可惜了,11,Sat Apr 20 21:37:28 2024
[報牌] 虎斑法鬥 39 二合,,Mon Apr 22 06:26:52 2024
[討論] 2024.04.20 開獎結果,1,Mon Apr 22 08:50:18 2024
[問題] 頭獎商店哪邊查？,1,Mon Apr 22 09:54:32 2024
[報牌] 39樂合及三四星,,Mon Apr 22 18:33:03 2024
[報牌] 539,2,Mon Apr 22 18:44:47 2024
[報牌] 享受地震的快感539,4,Mon Apr 22 19:02:01 2024
Re: [真相] 可惜了,3,Mon Apr 22 20:49:03 2024
[報牌] 享受輸的感覺539,10,Tue Apr 23 18:03:46 2024
[真相] 49 2合,4,Tue Apr 23 20:49:35 2024
[討論] 2024.04.22 開獎結果,3,Tue Apr 23 22:14:12 2024
[討論] 2024.04.13 開獎結果,1,Sun Apr 14 23:13:46 2024
[報牌] 虎斑法鬥 39 二合,,Mon Apr 15 06:30:32 2024
[報牌] 享受輸的感覺539,8,Mon Apr 15 16:57:49 2024
[真相] 3組539,5,Mon Apr 15 20:43:04 2024
[討論] 2024.04.15 開獎結果 威力彩 2.7億,4,Mon Apr 15 22:31:52 2024
[報牌] 虎斑法鬥 39 二合,,Tue Apr 16 06:31:44 2024
[報牌] 救救我啊我救我539,,Tue Apr 16 16:14:36 2024
[真相] 兩組威力彩,3,Tue Apr 16 17:03:30 2024
[報牌] 享受輸的感覺539,8,Tue Apr 16 17:25:19 2024
[報牌] 三九二合,,Tue Apr 16 19:30:47 2024
[閒聊] 就連神都救不了我,1,Tue Apr 16 20:14:01 2024
[討論] 2024.04.16 開獎結果 大樂透 1.0億,1,Tue Apr 16 22:42:38 2024
[報牌] 虎斑法鬥 39 二合,,Wed Apr 17 06:22:47 2024
[報牌] 39二合,,Wed Apr 17 17:37:41 2024
[報牌] 享受輸的感覺539,17,Wed Apr 17 19:01:33 2024
[真相] 4星彩,1,Wed Apr 17 20:51:52 2024
[討論] 2024.04.17 開獎結果,4,Wed Apr 17 22:45:46 2024
[報牌] 虎斑法鬥 39 二合,,Thu Apr 18 06:29:04 2024
[報牌] 39樂合彩,,Thu Apr 18 16:07:09 2024
[報牌] 高雄539,,Thu Apr 18 16:13:57 2024
